== build generator & input ==
== reference sum (exact) ==
expected = 53687387166542798
== bandwidth floor (f(n)=n target) ==
floor (cat > /dev/null) = 0.5460s min / 0.6570s median  <- champion should approach this
== build variants ==
== timing (interleaved, RUNS=3) ==
== test + benchmark ==
NAME                     RESULT             BEST(s)   MED(s)    JITTER    STATUS
variants/dp2_8s_fw_2560_32 53687387166542798  0.0910    0.0920    ±0.0150  OK
variants/dp2_8s_fw_2w    53687387166542798  0.0940    0.0940    ±0.0020  OK
variants/dp2_8s_fw_3072_32 53687387166542798  0.0930    0.0940    ±0.0050  OK
variants/dp2_8s_fw_3072_64 53687387166542798  0.0940    0.1020    ±0.0120  OK
variants/dp2_8s_fw_3tier 53687387166542798  0.0970    0.0980    ±0.0050  OK
variants/dp2_8s_fw_4096_32 53687387166542798  0.0940    0.0950    ±0.0020  OK
variants/dp2_8s_fw_4096_64 53687387166542798  0.0930    0.0950    ±0.0050  OK
variants/dp2_8s_fw_4acc_200it 53687387166542798  0.0930    0.0950    ±0.0080  OK
variants/dp2_8s_fw_4acc_2048_32 53687387166542798  0.0950    0.0960    ±0.0020  OK
variants/dp2_8s_fw_4acc_3072_32 53687387166542798  0.0940    0.0950    ±0.0150  OK
variants/dp2_8s_fw_4acc_t0_128_1024 53687387166542798  0.0910    0.0950    ±0.0500  OK
variants/dp2_8s_fw_4acc_t0_128_3072 53687387166542798  0.0940    0.0960    ±0.0580  OK
variants/dp2_8s_fw_4acc_t0_192_1536 53687387166542798  0.0930    0.0940    ±0.0040  OK
variants/dp2_8s_fw_4acc_t0_256_2048 53687387166542798  0.0940    0.0960    ±0.0030  OK
variants/dp2_8s_fw_4acc_t0_256_3072 53687387166542798  0.0930    0.0930    ±0.0010  OK
variants/dp2_8s_fw_4acc_t0_512_2048 53687387166542798  0.0930    0.0960    ±0.0100  OK
variants/dp2_8s_fw_4acc_t0_512_4096 53687387166542798  0.0950    0.0960    ±0.0030  OK
variants/dp2_8s_fw_4acc_t0_512_7168 53687387166542798  0.0940    0.0990    ±0.0430  OK
variants/dp2_8s_fw_4acc_t0_64_3072 53687387166542798  0.0930    0.0960    ±0.0060  OK
variants/dp2_8s_fw_4acc_t0_64_512 53687387166542798  0.0960    0.0990    ±0.0080  OK
variants/dp2_8s_fw_4acc_t0_64_640 53687387166542798  0.0930    0.0940    ±0.0040  OK
variants/dp2_8s_fw_4acc_t0_64_768 53687387166542798  0.0940    0.0950    ±0.0060  OK
variants/dp2_8s_fw_4acc_t0_64_896 53687387166542798  0.0930    0.0970    ±0.0070  OK
variants/dp2_8s_fw_4acc_t0t1 53687387166542798  0.0930    0.0970    ±0.0070  OK
variants/dp2_8s_fw_4acc_t1_2048 53687387166542798  0.0910    0.0950    ±0.0040  OK
variants/dp2_8s_fw_6144_32 53687387166542798  0.0920    0.0950    ±0.0030  OK
variants/dp2_8s_fw_il    53687387166542798  0.0970    0.0980    ±0.0020  OK
variants/dp2_8s_fw_interleaved 53687387166542798  0.1070    0.1080    ±0.0040  OK
variants/dp2_8s_fw_nta   53687387166542798  0.1660    0.2260    ±0.0610  OK
variants/dp2_8s_fw_pf512_only 53687387166542798  0.0950    0.0960    ±0.0010  OK
variants/dp2_8s_fw_t0_128_1024 53687387166542798  0.0910    0.0920    ±0.0060  OK
variants/dp2_8s_fw_t0_128_1536 53687387166542798  0.0910    0.0920    ±0.0350  OK
variants/dp2_8s_fw_t0_128_3072 53687387166542798  0.0910    0.0910    ±0.0000  OK
variants/dp2_8s_fw_t0_192_1024 53687387166542798  0.0930    0.0930    ±0.0000  OK
variants/dp2_8s_fw_t0_192_1536 53687387166542798  0.0920    0.0940    ±0.0030  OK
variants/dp2_8s_fw_t0_192_2048 53687387166542798  0.0930    0.0940    ±0.0010  OK
variants/dp2_8s_fw_t0_2048 53687387166542798  0.0930    0.0930    ±0.0050  OK
variants/dp2_8s_fw_t0_256 53687387166542798  0.0920    0.0920    ±0.0020  OK
variants/dp2_8s_fw_t0_256_1536 53687387166542798  0.0910    0.0920    ±0.0020  OK
variants/dp2_8s_fw_t0_3072_32 53687387166542798  0.0950    0.0950    ±0.0000  OK
variants/dp2_8s_fw_t0_4096 53687387166542798  0.0930    0.0950    ±0.0040  OK
variants/dp2_8s_fw_t0_5120 53687387166542798  0.0920    0.0950    ±0.0390  OK
