variants/dp2_8s_fw_4acc_t0_320_1536	0.0850	OK
variants/dp2_8s_fw_4acc_t0_320_3072	0.0860	OK
variants/dp2_8s_fw_4acc_t0_384_1536	0.0850	OK
variants/dp2_8s_fw_4acc_t0_512_2048	0.0870	OK
variants/dp2_8s_fw_4acc_t0_512_4096	0.0860	OK
variants/dp2_8s_fw_4acc_t0_512_7168	0.0870	OK
variants/dp2_8s_fw_4acc_t0_64_1024	0.0860	OK
variants/dp2_8s_fw_4acc_t0_64_1536	0.0860	OK
variants/dp2_8s_fw_4acc_t0_64_2048	0.0850	OK
variants/dp2_8s_fw_4acc_t0_64_3072	0.0860	OK
variants/dp2_8s_fw_4acc_t0_64_448	0.0860	OK
variants/dp2_8s_fw_4acc_t0_64_448_200it	0.0860	OK
variants/dp2_8s_fw_4acc_t0_64_512	0.0870	OK
variants/dp2_8s_fw_4acc_t0_64_640	0.0860	OK
variants/dp2_8s_fw_4acc_t0_64_768	0.0870	OK
variants/dp2_8s_fw_4acc_t0_64_896	0.0850	OK
variants/dp2_8s_fw_4acc_t0_nta_448	0.0860	OK
variants/dp2_8s_fw_4acc_t0t1	0.0860	OK
variants/dp2_8s_fw_4acc_t0t1t2	0.0900	OK
variants/dp2_8s_fw_4acc_t1_2048	0.0870	OK
variants/dp2_8s_fw_4acc_t1only_640	0.0860	OK
variants/dp2_8s_fw_6144_32	0.0860	OK
variants/dp2_8s_fw_8acc	0.0880	OK
variants/dp2_8s_fw_il	0.0910	OK
variants/dp2_8s_fw_interleaved	0.1010	OK
variants/dp2_8s_fw_nopf	0.0920	OK
variants/dp2_8s_fw_nta	0.1780	OK
variants/dp2_8s_fw_pf512_only	0.0870	OK
variants/dp2_8s_fw_t0_128_1024	0.0850	OK
variants/dp2_8s_fw_t0_128_1536	0.0840	OK
variants/dp2_8s_fw_t0_128_2048	0.0850	OK
variants/dp2_8s_fw_t0_128_3072	0.0850	OK
variants/dp2_8s_fw_t0_128_512	0.0840	OK
variants/dp2_8s_fw_t0_128_640	0.0840	OK
variants/dp2_8s_fw_t0_128_768	0.0840	OK
variants/dp2_8s_fw_t0_192_1024	0.0850	OK
variants/dp2_8s_fw_t0_192_1536	0.0840	OK
variants/dp2_8s_fw_t0_192_2048	0.0850	OK
variants/dp2_8s_fw_t0_192_3072	0.0850	OK
variants/dp2_8s_fw_t0_192_512	0.0860	OK
variants/dp2_8s_fw_t0_192_640	0.0850	OK
variants/dp2_8s_fw_t0_192_768	0.0840	OK
variants/dp2_8s_fw_t0_192_896	0.0870	OK
variants/dp2_8s_fw_t0_2048	0.0850	OK
variants/dp2_8s_fw_t0_256	0.0850	OK
variants/dp2_8s_fw_t0_256_1024	0.0860	OK
variants/dp2_8s_fw_t0_256_1536	0.0840	OK
variants/dp2_8s_fw_t0_256_2048	0.0850	OK
variants/dp2_8s_fw_t0_256_3072	0.0850	OK
variants/dp2_8s_fw_t0_256_512	0.0850	OK
variants/dp2_8s_fw_t0_256_640	0.0850	OK
variants/dp2_8s_fw_t0_256_768	0.0860	OK
variants/dp2_8s_fw_t0_3072_32	0.0880	OK
variants/dp2_8s_fw_t0_320_3072	0.0850	OK
variants/dp2_8s_fw_t0_384_3072	0.0840	OK
variants/dp2_8s_fw_t0_4096	0.0850	OK
variants/dp2_8s_fw_t0_5120	0.0860	OK
variants/dp2_8s_fw_t0_64_1024	0.0850	OK
variants/dp2_8s_fw_t0_64_128_512	0.0870	OK
variants/dp2_8s_fw_t0_64_1536	0.0860	OK
variants/dp2_8s_fw_t0_64_2048	0.0860	OK
variants/dp2_8s_fw_t0_64_256	0.0850	OK
variants/dp2_8s_fw_t0_64_3072	0.0870	OK
variants/dp2_8s_fw_t0_64_320	0.0860	OK
variants/dp2_8s_fw_t0_64_384	0.0850	OK
variants/dp2_8s_fw_t0_64_448	0.0850	OK
variants/dp2_8s_fw_t0_64_512	0.0850	OK
variants/dp2_8s_fw_t0_64_512_32	0.0870	OK
variants/dp2_8s_fw_t0_64_640	0.0850	OK
variants/dp2_8s_fw_t0_64_768	0.0860	OK
variants/dp2_8s_fw_t0_7168	0.0860	OK
variants/dp2_8s_fw_t0_9216	0.0850	OK
variants/dp2_8s_fw_t0_96_1536	0.0860	OK
variants/dp2_8s_fw_t0_96_512	0.0850	OK
variants/dp2_8s_fw_t0_96_768	0.0860	OK
variants/dp2_8s_fw_t0_t1	0.0860	OK
variants/dp2_8s_fw_t0only	0.0880	OK
variants/dp2_8s_fw_t1first	0.0850	OK
variants/dp2_8s_fw_t1only_768	0.0860	OK
variants/dp2_8s_fw_t2_t1	0.0880	OK
variants/dp2_8s_fw_wide400	0.0850	OK
variants/dp2_8s_interleaved	0.1160	OK
variants/dp2_8s_itercount	0.0870	OK
variants/dp2_8s_nopf	0.0960	OK
variants/dp2_8s_pf1024	0.0860	OK
variants/dp2_8s_pf2048	0.0870	OK
variants/dp2_8s_pf2560	0.0870	OK
variants/dp2_8s_pf3072	0.0890	OK
